exam_id,name,subject,exam_count,difficulty,osym_fit,solution_clarity,layout,notes
1,Apotemi,TYT Türkçe,15,9,7,8,8,""
2,Limit,TYT Türkçe,15,9,7,9,8,""
3,345,TYT Türkçe,12,8,8,9,10,""
4,3D,TYT Türkçe,10,9,8,9,9,""
5,Endemik,TYT Türkçe,12,7,8,8,9,""
6,Bilgi Sarmal,TYT Türkçe,20,7,8,9,9,""
7,Hız ve Renk,TYT Türkçe,12,7,7,10,8,""
8,Çap,TYT Türkçe,12,7,8,9,8,""
9,Bekosistem,TYT Türkçe,10,8,8,9,8,""
10,Altın Karma,TYT Türkçe,10,7,7,8,8,""
11,Aydın,TYT Türkçe,10,8,8,8,8,""
12,Paragrafın Şifresi,TYT Türkçe,20,8,9,7,9,""
13,Toprak,TYT Türkçe,12,7,8,8,9,""
14,Karekök,TYT Türkçe,20,6,7,8,7,""
15,Paraf,TYT Türkçe,15,9,7,8,9,""
16,Limit 345,TYT Türkçe,12,9,8,9,9,"Varyasyon seti; Limit & 345 çizgisinde."
17,3D,TYT Matematik,10,10,9,10,9,""
18,345,TYT Matematik,10,7,10,10,10,""
19,Metin,TYT Matematik,8,8,9,9,9,""
20,Bilgi Sarmal,TYT Matematik,15,7,9,9,8,""
21,Acil,TYT Matematik,12,7,8,8,9,""
22,Hız ve Renk,TYT Matematik,12,7,8,7,8,""
23,Limit,TYT Matematik,15,6,7,8,8,""
24,Bekosistem Matmaster,TYT Matematik,10,9,7,8,8,""
25,Toprak,TYT Matematik,12,7,8,9,9,""
26,Aydın,TYT Matematik,10,8,8,9,9,""
27,Karekök,TYT Matematik,15,6,6,8,7,""
28,Paraf,TYT Matematik,15,8,8,9,9,""
29,Altın Karma,TYT Matematik,10,7,7,8,8,""
30,Nitelik,TYT Matematik,12,7,6,8,7,""
31,Miray,TYT Matematik,10,8,8,9,9,""
32,Bilgi Sarmal,TYT Geometri,14,8,8,8,8,""
33,Orijinal,TYT Geometri,20,9,8,8,8,""
34,Acil,TYT Geometri,15,9,9,9,9,""
35,Paraf,TYT Geometri,30,7,7,7,7,""
36,Toprak,TYT Geometri,20,7,8,8,7,""
37,Gezegen Sansasyonel,TYT Geometri,"10+10",8,7,9,8,"10 TYT + 10 AYT"
38,Yayın Denizi,TYT Geometri,15,7,7,7,8,""
39,Endemik,TYT Geometri,30,6,7,7,8,""
40,Bilgi Sarmal,TYT Fizik,40,7.5,8,8.5,7,""
41,Aydın,TYT Fizik,30,9,7.5,9,7,""
42,3D,TYT Fizik,48,8,7.5,9,9,""
43,Palme (Palmetre),TYT Fizik,30,7,8,9,7,""
44,Yayın Denizi,TYT Fizik,25,7,7,"",7.5,"Video çözümü yok"
45,Hız ve Renk,TYT Fizik,40,6,6.5,7.5,6.5,""
46,Ankara (Dekatlon),TYT Fizik,30,7.5,8,7.5,8,""
47,Rasyonel (Alpinist),TYT Fizik,40,8.5,8,8,8.5,""
48,Çap Up,TYT Fizik,"30+6",8,8,9,7,""
49,Ertan Sinan Şahin,TYT Fizik,30,8,9,9,9,""
50,Paraf,TYT Fizik,45,8.5,7,8,9,""
51,Nihat Bilgin,TYT Fizik,40,8,8,7,8,"Pdf çözüm"
52,Miray,TYT Fizik,30,6.5,7,8,6.5,""
53,Toprak,TYT Fizik,30,8,9,8,9,""
54,Miray,TYT Kimya,30,7.5,9,8,7,""
55,Bilgi Sarmal,TYT Kimya,40,7,9,8,7,""
56,Aydın,TYT Kimya,40,8.5,8.5,9,7,""
57,3D,TYT Kimya,48,9,8,9,8,""
58,Çap Up,TYT Kimya,"30+6",7,8,9,7,""
59,Köşebilgi,TYT Kimya,45,7.5,8,7.5,7.5,""
60,Orbital,TYT Kimya,45,9,7.5,8.5,8.5,""
61,Toprak,TYT Kimya,30,8,9,9,9,""
62,Karekök,TYT Kimya,50,9,8,"",7.5,"Video çözümü yok"
63,Hız ve Renk,TYT Kimya,40,6.5,7,7.5,6.5,""
64,Ankara (Dekatlon),TYT Kimya,30,7,8,8,7.5,""
65,Rasyonel (Alpinist),TYT Kimya,40,7.5,8.5,7.5,8.5,""
66,Paraf,TYT Kimya,45,8,8,8,9,""
67,Palme (Enerji),TYT Kimya,30,7,7.5,8.5,7,""
68,Kafa Dengi,TYT Kimya,40,8.5,7.5,8.5,7.5,""
69,Aydın,TYT Biyoloji,40,9,7.5,9.5,6,""
70,Köşe Bilgi,TYT Biyoloji,45,8,7,7,7,""
71,Bilgisarmal,TYT Biyoloji,40,6,8,8,8,""
72,Çap,TYT Biyoloji,36,6,6.5,7.5,7,""
73,Limit,TYT Biyoloji,50,7,8.5,"",9,"Video çözümü yok"
74,Miray,TYT Biyoloji,30,6.5,7,7.5,8,""
75,Biyotik,TYT Biyoloji,60,5,6,8,8,""
76,Hız ve Renk,TYT Biyoloji,40,5.5,6,6.5,6.5,""
77,Toprak,TYT Biyoloji,30,7,8,8,8.5,""
78,Paraf,TYT Biyoloji,45,8,7.5,7.5,8,""
79,Ankara Yayıncılık,TYT Biyoloji,30,7,7.5,7,7.5,""
80,Rasyonel,TYT Biyoloji,40,8,9,8,9.5,""
81,Pes,TYT Biyoloji,35,7,7.5,7.5,7,""
82,Palme,TYT Biyoloji,40,8,8.5,8,7.5,""
83,Karekök,TYT Biyoloji,50,9,7,"",6,"Video çözümü yok"
84,3D,TYT Fen Genel,15,9,8,9,8,""
85,345,TYT Fen Genel,25,6,9,9,9,""
86,Bilgi Sarmal,TYT Fen Genel,25,6.5,9,8,8,""
87,Apotemi,TYT Fen Genel,25,7,7,6,7,"Video çözümü kitapta"
88,Altın Karma,TYT Fen Genel,10,5,6,7,7,""
89,Endemik,TYT Fen Genel,20,5.5,6,7,7,""
90,Ünlüler Karması,TYT Fen Genel,10,6,6,7,7,""
91,Çap,TYT Fen Genel,30,7,5,6,8,""
92,Toprak,TYT Fen Genel,25,5.5,6,7,8,""
93,Miray,TYT Fen Genel,10,6,7,6.5,7,""
94,Paraf Elit Karma,TYT Fen Genel,20,6,6,8,7,""
95,Ankara,TYT Fen Genel,12,6.5,7,7,6,""
96,Paraf,TYT Fen Genel,25,5,6,6.5,8,""
97,Hız ve Renk,TYT Fen Genel,30,7,8,6,8,""
98,Hız ve Renk,TYT Tarih,40,8.5,9,8,9,""
99,Benim Hocam,TYT Tarih,40,6,7,7.5,7,""
100,Karekök,TYT Tarih,50,6,7,8,5,""
101,Palme (Enerji),TYT Tarih,30,9,8.5,9,9,""
102,Ankara,TYT Tarih,30,8,8,8,9,""
103,Benim Hocam,TYT Coğrafya,40,8,7.5,8,9,""
104,Karekök,TYT Coğrafya,50,8.5,8,7,9,""
105,Palme (Enerji),TYT Coğrafya,30,9,8,9,9,""
106,Hız ve Renk,TYT Coğrafya,40,8,9,8,9,""
107,Ankara,TYT Coğrafya,30,9,9,9,9,""
108,Karekök,TYT Felsefe,50,8.5,8.5,7,9,""
109,Benim Hocam,TYT Felsefe,30,8,7.5,8,9,""
110,Palme (Enerji),TYT Felsefe,30,8.5,8,9,9,""
111,Karekök,TYT Din Kültürü ve Ahlak Bilgisi,50,9,7.5,8,8,""
112,Benim Hocam,TYT Din Kültürü ve Ahlak Bilgisi,30,8,8.5,9,9,""
113,Palme (Enerji),TYT Din Kültürü ve Ahlak Bilgisi,30,8,8,9,9,""
114,3D,TYT Sosyal Genel,15,9,8,9,9,""
115,Bilgi Sarmal,TYT Sosyal Genel,30,7,9,8,8,""
116,Toprak,TYT Sosyal Genel,25,7,8,8,9,""
117,Hız ve Renk,TYT Sosyal Genel,30,7,8,7,8,""
118,Limit,TYT Sosyal Genel,20,8,8,9,8,""
119,Paraf,TYT Sosyal Genel,25,9,7,7,9,""
120,Yanıt,TYT Sosyal Genel,32,7,7,7,8,""
121,Endemik,TYT Sosyal Genel,20,7,9,8,7,""
122,Yayın Denizi,TYT Sosyal Genel,25,7,7,7,7,""
123,Aydın,TYT Sosyal Genel,20,8,9,8,9,""
124,Apotemi,TYT Sosyal Genel,25,8,7,8,8,""
125,Ankara,TYT Sosyal Genel,12,8,6,8,7,""
126,Ens,TYT Sosyal Genel,20,7,8,8,8,""
