subject;order;topic;beginner_min;intermediate_min;advanced_min
Türkçe;1;Sözcükte Anlam, Deyimler ve Atasözleri;300;165;60
Türkçe;2;Cümle Bilgisi, Yorumu ve Cümlede Kavramlar (Cümlede Anlam);360;240;135
Türkçe;3;Paragrafta Anlam, Anlatım Biçimleri;630;360;150
Türkçe;4;Ses Bilgisi;270;135;60
Türkçe;5;Yazım Kuralları;315;180;105
Türkçe;6;Noktalama İşaretleri;240;150;75
Türkçe;7;Sözcük Yapısı ve Ekler;390;225;120
Türkçe;8;İsim Soylu Sözcükler (İsim, Sıfat, Zamir, Zarf, Edat, Bağlaç);990;540;135
Türkçe;9;Fiiller, Ek Fiil, Fiilimsiler, Fiilde Yapı;660;390;240
Türkçe;10;Cümlenin Ögeleri;255;165;90
Türkçe;11;Cümle Çeşitleri;195;120;90
Türkçe;12;Anlatım Bozukluğu;270;180;120
Matematik;1;Temel Kavramlar (Sayılar);600;390;240
Matematik;2;Sayı Basamakları ve Çözümleme;270;195;135
Matematik;3;Bölme ve Bölünebilme;330;240;150
Matematik;4;Asal Sayılar, Asal Çarpanlara Ayırma;240;150;105
Matematik;5;OBEB – OKEK;360;255;180
Matematik;6;Rasyonel Sayılar - Ondalık Sayılar;240;150;90
Matematik;7;Basit Eşitsizlikler;225;150;75
Matematik;8;Mutlak Değer;510;330;210
Matematik;9;Üslü Sayılar;360;210;135
Matematik;10;Köklü Sayılar;330;180;120
Matematik;11;Çarpanlara Ayırma;360;180;120
Matematik;12;Oran-Orantı;330;195;150
Matematik;13;Denklem Çözme (1. Dereceden Denklemler);300;195;105
Matematik;14;Problemler;1500;1020;720
Matematik;15;Mantık;180;120;75
Matematik;16;Kümeler ve Kartezyen Çarpımı;195;90;60
Matematik;17;Fonksiyonlar ve Grafikleri;510;345;255
Matematik;18;Polinomlar;405;300;180
Matematik;19;Permütasyon, Kombinasyon;450;300;180
Matematik;20;Binom;135;75;45
Matematik;21;Olasılık, İstatistik;480;330;180
